航空公司,出发城市与机场,目的地城市与机场,机型
新加坡航空公司,北京首都国际机场,新加坡樟宜机场,772
新加坡航空公司,上海浦东国际机场,新加坡樟宜机场,EQV
德国汉莎航空公司,上海浦东国际机场,慕尼黑慕尼黑机场,346
中国国际航空公司,成都双流国际机场,曼谷素旺那普国际机场,JET
新加坡胜安航空公司,重庆江北国际机场,新加坡樟宜机场,EQV
德国汉莎航空公司,广州新白云国际机场,法兰克福法兰克福机场,346
韩亚航空公司,重庆江北国际机场,首尔仁川国际机场,321
法国航空公司,广州新白云国际机场,巴黎巴黎戴高乐机场,772
中国南方航空(集..,广州新白云国际机场,巴黎巴黎戴高乐机场,77B
中国国际航空公司,北京首都国际机场,圣保罗瓜鲁尔霍斯国际机场,330
韩亚航空公司,广州新白云国际机场,首尔仁川国际机场,321
中国国际航空公司,上海浦东国际机场,米兰米兰马尔彭萨机场,340
中国国际航空公司,北京首都国际机场,法兰克福法兰克福机场,330
海南航空公司,北京首都国际机场,布达佩斯布达佩斯机场,767
海南航空公司,北京首都国际机场,布鲁塞尔布鲁塞尔机场,330
俄罗斯西伯利亚航..,北京首都国际机场,伊尔库茨克伊尔库茨克机场,TU5
空中世界乌克兰航..,上海浦东国际机场,基辅鲍里斯波尔机场,763
阿联酋国际航空公司,上海浦东国际机场,迪拜迪拜机场,EQV
空中世界乌克兰航..,北京首都国际机场,基辅鲍里斯波尔机场,763
俄罗斯西伯利亚航..,北京首都国际机场,新西伯利亚新西伯利亚机场,319
阿联酋国际航空公司,北京首都国际机场,迪拜迪拜机场,343
俄罗斯航空公司,北京首都国际机场,莫斯科谢诺梅杰沃机场,763
中国国际航空公司,重庆江北国际机场,名古屋名古屋机场,73G
中国国际航空公司,北京首都国际机场,仙台仙台机场,738
中国国际航空公司,成都双流国际机场,香港香港机场,733
中国南方航空(集..,北京首都国际机场,首尔仁川国际机场,330
中国南方航空(集..,上海浦东国际机场,首尔仁川国际机场,738
港龙航空公司,杭州萧山国际机场,香港香港机场,320
中国东方航空公司,南京禄口国际机场,香港香港机场,320
中国南方航空(集..,大连周水子机场,名古屋名古屋机场,JET
中国南方航空(集..,广州新白云国际机场,仙台仙台机场,757
中国南方航空(集..,广州新白云国际机场,首尔仁川国际机场,330
中国东方航空公司,南京禄口国际机场,大阪关西机场,320
中国国际航空公司,北京首都国际机场,广岛广岛机场,73G
中国东方航空公司,北京首都国际机场,东京成田机场,320
中国南方航空(集..,广州新白云国际机场,东京成田机场,77B
中国国际航空公司,北京首都国际机场,乌兰巴托乌兰巴托机场,733
中国国际航空公司,北京首都国际机场,乌兰巴托乌兰巴托机场,733
新加坡航空公司,上海浦东国际机场,新加坡樟宜机场,773
香港快运航空公司,香港香港机场,杭州萧山国际机场,738
日本航空公司,北京首都国际机场,东京成田机场,767
中国南方航空(集..,大连周水子机场,广岛广岛机场,319
中国南方航空(集..,广州新白云国际机场,香港香港机场,319
中国国际航空公司,北京首都国际机场,名古屋名古屋机场,733
中国国际航空公司,北京首都国际机场,釜山釜山机场,738
中国南方航空(集..,大连周水子机场,首尔仁川国际机场,JET
美国西北航空公司,广州新白云国际机场,东京成田机场,757
泰国国际航空公司,北京首都国际机场,曼谷素旺那普国际机场,AB6
港龙航空公司,南京禄口国际机场,香港香港机场,EQV
巴基斯坦国际航空公司,北京首都国际机场,东京成田机场,310
中国南方航空(集..,广州新白云国际机场,曼谷素旺那普国际机场,320
中国南方航空(集..,大连周水子机场,东京成田机场,300
日本航空公司,广州新白云国际机场,东京成田机场,767
