ID	X	Y	Temperature	Rainfall
1	255145.6607	3735572.85	8.55	662
2	261199.4654	3731488.259	9.96	800
3	240879.7529	3720626.491	9.98	614
4	250451.7828	3729951.79	10.67	801
5	248692.2002	3733080.231	9.78	596
6	247793.7161	3710571.66	12.09	772
7	264145.4654	3732554.138	9.26	575
8	242628.5419	3712108.161	9.89	636
9	255763.6483	3724148.934	10.37	719
10	246107.1688	3708867.084	11.83	790
11	242391.1833	3730366.578	8.25	846
12	245267.1611	3729462.516	9.54	547
13	255165.1799	3728273.679	9.37	555
14	245625.4514	3725387.781	8.75	675
15	254984.4114	3714209.268	10.72	742
16	245718.4217	3718001.497	11.24	603
17	265707.3249	3719050.178	9.71	789
18	238546.1838	3706165.053	10.98	516
19	249508.4231	3708432.434	10.35	807
20	247364.578	3717385.921	11.04	721
21	250493.6515	3718614.586	9.39	549
22	245844.0485	3720506.359	10.77	771
23	259147.914	3727415.362	9.11	819
24	263419.8097	3724335.238	9.77	713
25	267049.3069	3712858.681	9.01	796
26	238924.0478	3709390.633	11.05	828
27	265895.4472	3715757.214	8.96	614
28	267467.0072	3734186.374	10.24	745
29	239287.0158	3724022.19	9.88	523
30	264171.7623	3722845.231	10.31	633
31	238189.1485	3732974.106	7.82	533
32	259313.7743	3705496.577	9.63	608
33	253953.1665	3715907.818	11.56	537
34	263741.7957	3729460.091	9.88	772
35	243306.6518	3708202.42	12.03	670
36	252253.1781	3734136.565	10.19	752
37	256394.6153	3737672.86	9.62	556
38	268699.6955	3716770.767	10.34	580
39	269040.2942	3709208.379	9.53	685
40	251101.7941	3721897.811	8.92	506
41	268359.5898	3723669.05	9.53	815
42	251845.5854	3730516.428	9.67	746
43	253028.5618	3713953.867	11.26	757
44	249141.3901	3731273.873	9.93	800
45	242311.9837	3734431.345	8.76	592
46	256750.3167	3721338.007	10.99	571
47	253293.7843	3727843.498	9.26	517
48	252462.0078	3726057.58	9.58	542
49	257796.6744	3730575.47	9.32	615
50	256660.2595	3729004.287	9.83	741
51	261611.081	3707052.939	8.92	669
52	262194.2149	3710239.124	10.17	692
53	250837.0962	3713007.019	11.68	651
54	252652.3687	3724477.493	8.83	661
55	257758.5557	3726363.476	10.65	720
56	248130.4644	3705932.124	11.43	768
57	265913.309	3729620.318	8.95	779
58	238295.1336	3737640.744	8.05	767
59	238848.7423	3717002.836	9.88	793
60	259407.164	3734153.353	7.85	643
61	258026.6192	3738110.139	7.93	533
62	245180.4341	3735682.866	9.65	564
63	256966.2996	3718792.262	10.68	845
64	241683.5495	3716947.852	11.41	727
65	267390.3999	3710571.897	7.87	824
66	237975.2458	3735705.19	7.53	844
67	265761.9573	3736024.825	10.44	662
68	243726.7478	3724460.266	10.36	664
69	238039.2671	3713011.922	9.86	528
70	268970.342	3728690.711	9.94	546
71	241152.7108	3736675	8.03	785
72	266221.0171	3738089.484	9.29	638
73	236921.8694	3722266	11.38	552
74	253447.607	3720028.321	9.18	568
75	243878.2666	3727489.487	9.49	839
76	268559.7515	3719194.261	9.48	811
77	265681.5205	3724206.634	9.27	821
78	268238.079	3727306.368	10.74	653
79	257788.738	3736334.275	8.28	776
80	263036.0851	3720992.771	10.39	698
81	258350.9566	3715129.923	8.87	711
82	247287.4506	3738315.646	9.22	836
83	269013.5898	3735522.971	10.52	562
84	262627.7819	3713558.776	10.1	756
85	268018.3912	3706953.476	8.24	564
86	258098.4518	3708151.155	9.59	551
87	253761.834	3708476.363	10.79	510
88	251084.552	3707518.75	10.15	572
89	267176.4665	3718238.716	9.94	532
90	254879.4827	3733370.108	8.12	811
91	240878.4751	3724813.244	8.07	514
92	248971.1372	3723892.604	10.62	550
93	263216.3481	3726132.949	10.09	652
94	238699.4965	3728706.189	10.54	569
95	249807.2053	3720347.481	10.23	506
96	255524.3115	3731914.175	9.46	558
97	258209.0209	3712846.435	9.28	682
98	259824.1321	3719265.061	10.53	691
99	262406.3463	3717894.309	9.77	720
100	247328.2472	3713301.947	10.69	533
