OBJECTID,Type,SizeClass,x,y
1,1,3,6278965.5000000,1839752.3750000
2,1,3,6278994.5000000,1839767.7500000
3,1,3,6278961.5000000,1839691.3750000
4,1,3,6278989.0000000,1839705.0000000
5,1,3,6279017.5000000,1839719.1250000
6,1,3,6279046.5000000,1839732.2500000
7,1,3,6279019.0000000,1839749.1250000
8,1,3,6278991.0000000,1839734.3750000
9,1,3,6278957.0000000,1839628.6250000
10,1,3,6278985.5000000,1839643.3750000
11,1,3,6278981.0000000,1839611.2500000
12,1,3,6279011.5000000,1839625.8750000
13,1,3,6279013.0000000,1839657.0000000
14,1,3,6279042.0000000,1839670.1250000
15,1,3,6279069.5000000,1839684.8750000
16,1,3,6278950.5000000,1839533.2500000
17,1,3,6278952.0000000,1839566.5000000
18,1,3,6279226.5000000,1839580.6250000
19,1,3,6279228.0000000,1839611.7500000
20,1,3,6279252.5000000,1839562.1250000
21,1,3,6279253.0000000,1839594.8750000
22,1,3,6279282.5000000,1839608.0000000
23,1,3,6279279.5000000,1839576.3750000
24,1,3,6279277.5000000,1839545.2500000
25,1,3,6279305.0000000,1839528.8750000
26,1,3,6279305.5000000,1839560.0000000
27,1,3,6279308.0000000,1839593.7500000
28,1,3,6279333.0000000,1839574.1250000
29,1,3,6279331.5000000,1839542.5000000
30,1,3,6279361.0000000,1839556.7500000
31,1,3,6279357.0000000,1839639.0000000
32,1,3,6279383.5000000,1839622.1250000
33,1,3,6279408.5000000,1839605.2500000
34,1,3,6279433.5000000,1839588.8750000
35,1,3,6279459.5000000,1839571.3750000
36,1,3,6279367.0000000,1839743.7500000
37,1,3,6279356.5000000,1839725.7500000
38,1,3,6279392.0000000,1839727.3750000
39,1,3,6279381.5000000,1839709.3750000
40,1,3,6279407.0000000,1839692.5000000
41,1,3,6279417.0000000,1839708.7500000
42,1,3,6279433.5000000,1839675.5000000
43,1,3,6279441.0000000,1839691.8750000
44,1,3,6279458.5000000,1839657.0000000
45,1,3,6279466.5000000,1839675.0000000
46,1,3,6279484.0000000,1839554.5000000
47,1,3,6279511.0000000,1839537.1250000
48,1,3,6279540.5000000,1839526.1250000
49,1,3,6279566.5000000,1839512.5000000
50,1,3,6279592.5000000,1839499.5000000
51,1,3,6279619.0000000,1839484.1250000
52,1,3,6279643.5000000,1839467.2500000
53,1,3,6279667.0000000,1839451.5000000
54,1,3,6279693.5000000,1839437.2500000
55,1,3,6279718.5000000,1839419.2500000
56,1,3,6279745.5000000,1839403.0000000
57,1,3,6279770.0000000,1839386.6250000
58,1,3,6279795.5000000,1839370.7500000
59,1,3,6279818.5000000,1839354.3750000
60,1,3,6279843.5000000,1839338.0000000
61,1,3,6279868.5000000,1839320.6250000
62,1,3,6279894.0000000,1839307.0000000
63,1,3,6279711.0000000,1839630.2500000
64,1,3,6279727.0000000,1839624.2500000
65,1,3,6279736.0000000,1839616.6250000
66,1,3,6279749.5000000,1839606.8750000
67,1,3,6279761.5000000,1839599.2500000
68,1,3,6279776.0000000,1839590.5000000
69,1,3,6279899.5000000,1839580.6250000
70,1,3,6278951.0000000,1839484.7500000
71,1,3,6278946.5000000,1839411.1250000
72,1,3,6278944.0000000,1839380.0000000
73,1,3,6278941.5000000,1839347.8750000
74,1,3,6279483.0000000,1839641.7500000
75,1,3,6279493.5000000,1839658.1250000
76,1,3,6279508.0000000,1839624.8750000
77,1,3,6279518.5000000,1839641.7500000
78,1,3,6279530.5000000,1839607.3750000
79,1,3,6279546.0000000,1839625.8750000
80,1,3,6279559.5000000,1839589.3750000
81,1,3,6279568.5000000,1839608.0000000
82,1,3,6279584.5000000,1839572.5000000
83,1,3,6279595.0000000,1839592.1250000
84,1,3,6279609.0000000,1839555.0000000
85,1,3,6279616.5000000,1839575.2500000
86,1,3,6279644.5000000,1839556.7500000
87,1,3,6279661.0000000,1839521.7500000
88,1,3,6279671.0000000,1839541.3750000
89,1,3,6279686.5000000,1839506.0000000
90,1,3,6279697.0000000,1839523.3750000
91,1,3,6279709.5000000,1839489.6250000
92,1,3,6279721.0000000,1839508.7500000
93,1,3,6279735.0000000,1839474.8750000
94,1,3,6279745.5000000,1839491.7500000
95,1,3,6279761.5000000,1839458.0000000
96,1,3,6279770.0000000,1839474.8750000
97,1,3,6279796.5000000,1839457.5000000
98,1,3,6279787.0000000,1839440.5000000
99,1,3,6279811.5000000,1839423.6250000
100,1,3,6279820.5000000,1839442.2500000
101,1,3,6279836.0000000,1839406.7500000
102,1,3,6279846.5000000,1839424.7500000
103,1,3,6279861.5000000,1839389.2500000
104,1,3,6279873.5000000,1839406.7500000
105,1,3,6279940.0000000,1839539.7500000
106,1,3,6279952.5000000,1839536.0000000
107,1,3,6279961.0000000,1839527.7500000
108,1,3,6279975.0000000,1839519.1250000
109,0,4,6279998.5000000,1839461.8750000
112,0,2,6279999.0000000,1839566.0000000
114,0,5,6280012.0000000,1839458.0000000
115,0,5,6280034.5000000,1839458.5000000
116,0,2,6280116.5000000,1839382.7500000
117,0,1,6280383.0000000,1839518.5000000
118,0,1,6280408.5000000,1839519.1250000
119,0,1,6280434.5000000,1839518.0000000
120,0,3,6280349.5000000,1839460.7500000
121,1,0,6279311.0000000,1838841.2500000
122,1,0,6279312.0000000,1838852.5000000
123,1,0,6279320.5000000,1838860.3750000
