Fri. Mar. 23, 2012             LANDSAT 5                 Time: 13:11
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L3629777            Path/Row: 119 / 038

L0R Reference Image: L51BJC1010144020100_HDF.120831431
Acquisition Date: May 24, 2010

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
119   038   2001-07-26


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1190380001   32.233956  119.482507     9.483       0.978    -6.427     2.196    -6.127
1190380002   31.548386  120.798918    11.045       2.405    -0.578     2.469    -0.108
1190380004   30.927995  120.436288     9.000      -0.819     3.501    -1.474     3.280
1190380005   31.613511  120.890029    10.972       1.383     0.758     1.210     1.008
1190380008   31.056386  120.875711    12.042      -0.499     0.256    -0.541     0.155
1190380010   31.787497  119.943797    10.677       3.206    -6.645     4.422    -5.914
1190380011   32.173728  119.999330     7.187       0.604    -4.407     1.439    -4.213
1190380013   31.627968  120.769533    14.753       2.030    -1.710     2.318    -1.292
1190380016   31.533868  119.729139     9.808      -1.245     3.640    -1.917     3.338
1190380017   31.658043  121.181337    15.879       3.388    -6.207     4.507    -5.445
1190380020   31.605495  120.205153     8.509       3.358    -2.047     3.690    -1.369
1190380023   31.027764  119.836100    10.730       4.471    -3.300     5.024    -2.387
1190380025   31.308790  120.581384    16.226       0.276     4.848    -0.656     4.811
1190380026   31.452200  120.246957    30.951      -2.023    -2.275    -1.551    -2.621
1190380028   31.692658  120.134519    12.556       1.225     3.108     0.609     3.286
1190380031   31.486135  120.046136    40.081      -5.041    -3.167    -4.343    -4.073
1190380033   31.566325  120.295742    10.532       2.669    -1.522     2.912    -0.985
1190380035   31.649804  120.764899    12.207      -0.783    -1.702    -0.445    -1.821
1190380036   31.611427  120.736729    11.903       1.264     4.640     0.352     4.796
1190380039   30.930457  120.465099    12.054      -3.823    -1.312    -3.504    -2.019
1190380040   31.684211  121.119751    12.947      -1.519     1.552    -1.791     1.231
1190380041   32.006210  119.850851    13.743      -1.761    -1.974    -1.349    -2.275
