==============================================================================
==============================================================================
Fri. Mar. 23 2012                  LANDSAT 7                       Time: 18:21
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101203236802_00001                          Path / Row - 119 / 38
Reference Image: L51BJC1010144020100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 87.5%
Rank   2 -- 10.1%
Rank   3 --  1.5%
Rank   4 --  0.3%
Rank   5 --  0.6%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
1190380092   32.64660    119.62976     0.07     -0.18     0.20     1 
1190380094   32.64842    119.69809     0.01      0.20     0.20     1 
1190380095   32.64932    119.73226     0.02      0.11     0.11     1 
1190380096   32.65020    119.76644     0.14      0.18     0.23     1 
1190380165   32.61908    119.56241     0.31      0.11     0.33     1 
1190380166   32.62002    119.59656     0.07     -0.09     0.11     1 
1190380172   32.62541    119.80153    -0.11     -0.04     0.12     1 
1190380173   32.62627    119.83569    -0.12      1.08     1.08     3 
1190380175   32.62798    119.90403    -0.01      0.11     0.11     1 
1190380176   32.62882    119.93820     0.08      0.10     0.13     1 
1190380240   32.59342    119.56339     0.16      0.11     0.19     1 
1190380243   32.59618    119.66583     0.34      0.32     0.47     1 
1190380246   32.59886    119.76829    -0.03      0.21     0.21     1 
1190380250   32.60231    119.90491     0.24      0.19     0.30     1 
1190380251   32.60314    119.93907     0.10      0.04     0.10     1 
1190380252   32.60397    119.97324     0.03      0.21     0.21     1 
1190380253   32.60479    120.00740     0.05      0.17     0.18     1 
1190380256   32.60719    120.10990    -0.07      0.14     0.15     1 
1190380315   32.56776    119.56437     0.14      0.20     0.25     1 
1190380319   32.57142    119.70092    -0.11      0.12     0.16     1 
1190380321   32.57319    119.76921     0.23      0.09     0.25     1 
1190380323   32.57493    119.83750     0.08      0.14     0.16     1 
1190380325   32.57664    119.90580    -0.00      0.16     0.16     1 
1190380327   32.57830    119.97410    -0.00      0.22     0.22     1 
1190380330   32.58073    120.07656     0.11      0.10     0.15     1 
1190380333   32.58307    120.17904    -0.02      0.24     0.24     1 
1190380335   32.58459    120.24737    -0.04      0.49     0.49     1 
1190380390   32.54209    119.56535    -0.24     -0.04     0.24     1 
1190380391   32.54302    119.59947     0.03      0.02     0.04     1 
1190380393   32.54485    119.66773     0.03      0.03     0.05     1 
1190380396   32.54753    119.77013     0.15      0.13     0.20     1 
1190380399   32.55012    119.87254     0.18      0.25     0.31     1 
1190380400   32.55096    119.90668     0.07      0.01     0.07     1 
1190380402   32.55263    119.97496     0.23      0.06     0.24     1 
1190380403   32.55344    120.00911    -0.08      0.37     0.38     1 
1190380404   32.55425    120.04325    -0.10      0.10     0.14     1 
1190380406   32.55584    120.11155     0.08      0.23     0.24     1 
1190380411   32.55965    120.28230     0.10      0.07     0.13     1 
1190380412   32.56039    120.31646     0.02      0.36     0.36     1 
1190380413   32.56111    120.35062     0.09      0.40     0.41     1 
1190380465   32.51643    119.56633     0.07      0.03     0.08     1 
1190380466   32.51736    119.60044     0.01     -0.03     0.03     1 
1190380467   32.51828    119.63456     0.10     -0.06     0.12     1 
1190380468   32.51919    119.66868     0.36      0.15     0.39     1 
1190380475   32.52529    119.90756     0.04      0.22     0.23     1 
1190380479   32.52858    120.04409     0.14      0.29     0.33     1 
1190380480   32.52938    120.07823     0.09     -0.23     0.25     1 
1190380485   32.53323    120.24893    -0.01      0.27     0.27     1 
1190380487   32.53470    120.31722     0.13      0.34     0.37     1 
1190380488   32.53543    120.35137    -0.11      0.47     0.48     1 
1190380489   32.53614    120.38552    -0.14      0.39     0.41     1 
1190380491   32.53755    120.45382     0.10      0.25     0.27     1 
1190380493   32.53891    120.52213     0.11      0.56     0.57     2 
1190380545   32.49531    119.73785     0.10     -0.20     0.22     1 
1190380546   32.49619    119.77197     0.37     -0.03     0.37     1 
1190380550   32.49962    119.90844     0.07      0.17     0.19     1 
1190380551   32.50045    119.94256     0.18      0.25     0.31     1 
