点编号	经度	纬度
1	120.5568847	31.2661662
2	120.4929075	31.36080172
3	120.6010299	31.38662143
4	120.5435062	31.38988963
5	120.5298916	31.33831534
6	120.545731	31.27565202
7	120.6845217	31.3023938
9	120.619267	31.39216516
10	120.4982398	31.38443721
11	120.5890772	31.38881003
12	120.6453698	31.40911212
13	120.5372822	31.26221369
14	120.5665587	31.27011183
15	120.526957	31.32111963
16	120.5944912	31.31978099
18	120.6834604	31.40135167
19	120.5810398	31.35402476
22	120.5751351	31.3349635
24	120.6711263	31.30376188
25	120.5459692	31.39894743
26	120.4949318	31.39242261
27	120.5860818	31.27046723
28	120.6436288	31.25877055
29	120.5648858	31.29551
30	120.7150216	31.27876649
