Sat. Mar. 24, 2012             LANDSAT 5                 Time: 20:14
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L3637775            Path/Row: 119 / 039

L0R Reference Image: L51BJC1010144020100_HDF.120841803
Acquisition Date: May 24, 2010

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
119   039   2000-10-11


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1190390001   30.114008  120.472463    18.655       1.519     0.163     1.483     0.373
1190390003   30.839437  120.890101    13.794       0.593    -1.852     0.844    -1.755
1190390005   30.965053  120.812663    13.196      -0.276     4.237    -0.858     4.163
1190390006   30.263164  120.191645    23.631      -2.290    -4.638    -1.625    -4.915
1190390009   30.537379  120.705225    15.454       2.521     1.160     2.339     1.500
1190390011   30.831892  120.075216     9.257       3.254     6.745     2.292     7.134
1190390015   30.113717  120.786035    18.578       4.115     3.281     3.623     3.827
1190390016   30.934076  120.890169    13.484      -1.461    -4.065    -0.887    -4.233
1190390018   30.517151  120.137118    13.234      -4.685     1.616    -4.867     0.951
1190390024   30.070460  119.940642    17.771      -0.128     1.981    -0.402     1.945
1190390026   30.901639  120.835545    14.332       1.508    -1.566     1.711    -1.344
1190390030   30.283805  120.565385    16.903       1.725     5.176     0.991     5.371
1190390036   30.224366  120.661030    18.116      -4.306     5.451    -5.025     4.803
1190390037   30.011487  120.563673    18.248      -0.772     2.020    -1.047     1.895
1190390041   30.123519  120.216080    23.300      -0.553     1.732    -0.788     1.639
1190390042   31.222131  119.243757    37.379       2.349     5.283     1.598     5.556
1190390043   30.159606  120.266438    21.870       3.332     3.090     2.872     3.526
1190390049   30.275513  120.162123    24.521      -4.257    -1.335    -4.032    -1.915
1190390050   29.647318  118.903074   108.840       0.951    -7.079     1.931    -6.875
1190390052   31.078766  119.731737   180.952       4.713    -5.677     5.450    -4.975
1190390053   30.538783  120.684345    15.282      -4.354     1.174    -4.478     0.559
1190390055   30.974672  120.888993    14.971       2.341    -1.286     2.499    -0.951
