==============================================================================
==============================================================================
Sun. Mar. 25 2012                  LANDSAT 7                       Time: 01:24
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101203237121_00001                          Path / Row - 119 / 39
Reference Image: L51BJC1010144020100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 44.3%
Rank   2 -- 40.4%
Rank   3 -- 15.2%
Rank   4 --  0.1%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
1190390088   31.19472    119.20124    -0.11      0.58     0.59     2 
1190390089   31.19417    119.23365    -0.28      0.80     0.85     2 
1190390090   31.19360    119.26606    -0.26      0.74     0.78     2 
1190390091   31.19302    119.29847    -0.77      0.62     0.99     2 
1190390092   31.19244    119.33088    -0.34      0.50     0.60     2 
1190390097   31.18940    119.49289     1.03     -0.32     1.08     3 
1190390163   31.17011    119.20068     0.02      0.40     0.40     1 
1190390172   31.16479    119.49225    -0.21      0.41     0.46     1 
1190390173   31.16416    119.52464     0.21      0.09     0.22     1 
1190390174   31.16352    119.55703     0.52     -0.46     0.70     2 
1190390175   31.16287    119.58942     0.07     -0.15     0.17     1 
1190390176   31.16222    119.62181     0.20     -0.00     0.20     1 
1190390177   31.16155    119.65420     0.33      0.23     0.40     1 
1190390178   31.16088    119.68658    -0.10      0.25     0.27     1 
1190390244   31.14203    119.39445     0.61     -0.23     0.65     2 
1190390245   31.14142    119.42683     0.03      0.17     0.17     1 
1190390246   31.14081    119.45922     0.52     -0.41     0.67     2 
1190390248   31.13955    119.52399     0.03      0.31     0.31     1 
1190390249   31.13891    119.55637     0.56     -0.45     0.72     2 
1190390250   31.13827    119.58875    -0.19      0.03     0.19     1 
1190390252   31.13695    119.65351     0.64     -0.30     0.71     2 
1190390255   31.13491    119.75064    -0.21     -0.18     0.28     1 
1190390256   31.13421    119.78302     0.72     -0.05     0.72     2 
1190390314   31.12032    119.23192     0.13      0.32     0.34     1 
1190390321   31.11620    119.45858     0.04     -0.16     0.17     1 
1190390323   31.11494    119.52334     0.39     -0.10     0.41     1 
1190390324   31.11431    119.55571     0.57     -0.54     0.79     2 
1190390325   31.11366    119.58808     0.43     -0.70     0.82     2 
1190390327   31.11234    119.65283     0.56      0.02     0.56     2 
1190390331   31.10961    119.78230     0.91     -0.36     0.98     2 
1190390332   31.10891    119.81467     0.15     -0.25     0.29     1 
1190390388   31.09626    119.19897     0.11      0.64     0.65     2 
1190390389   31.09571    119.23135    -0.17      0.39     0.43     1 
1190390390   31.09514    119.26372     0.06      0.35     0.36     1 
1190390394   31.09280    119.39321    -0.09      0.34     0.35     1 
1190390396   31.09158    119.45795     0.01     -0.17     0.18     1 
1190390404   31.08639    119.71686    -1.82     -0.68     1.95     3 
1190390405   31.08570    119.74922     0.40     -0.05     0.41     1 
1190390406   31.08500    119.78158     0.23     -0.16     0.28     1 
1190390407   31.08430    119.81394     0.89     -0.37     0.97     2 
1190390408   31.08359    119.84630     0.17      0.17     0.24     1 
1190390409   31.08287    119.87865     0.01     -0.33     0.33     1 
1190390420   31.07443    120.23448     0.24     -0.04     0.25     1 
1190390465   31.07053    119.26314    -0.06      0.23     0.24     1 
1190390467   31.06938    119.32787    -1.40      1.45     2.02     4 
1190390469   31.06819    119.39259     0.31     -0.11     0.33     1 
1190390473   31.06573    119.52203    -0.04     -0.25     0.25     1 
1190390479   31.06178    119.71617     0.83     -0.94     1.26     3 
1190390482   31.05970    119.81322     0.72     -0.31     0.78     2 
1190390486   31.05681    119.94260    -0.02      0.17     0.17     1 
1190390487   31.05607    119.97494     0.03     -0.10     0.10     1 
1190390498   31.04737    120.33064    -0.29     -0.48     0.56     2 
1190390501   31.04482    120.42762     0.09     -0.06     0.11     1 
1190390539   31.04648    119.23020    -0.05      0.57     0.58     2 
1190390541   31.04535    119.29491     0.05      0.47     0.47     1 
1190390554   31.03718    119.71547     0.12     -0.17     0.21     1 
1190390557   31.03509    119.81249     0.16     -0.14     0.21     1 
